	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
ROR2	5.147397557	7.652747151	6.855539504	6.580278697	5.005629964000001	6.152098801	6.541132739	6.6051157675	6.4034843365
RORA	4.833817759666666	5.729823724666667	5.774127627333333	5.003356521	5.5847009786666675	6.244249678999999	6.050315352666668	6.794856063	7.083240701333334
RORB	6.377958584	6.760328753	6.263691277	8.53522393	6.901723297	7.089816251999999	4.772719034500001	6.010057069499999	7.932090952
RORC	4.800295793	7.352948196	5.717163699	5.981485094	4.875038341000001	5.915701528	3.2349382555	5.417986798499999	4.981669373
ROS1	1.3716842930000002	1.305925763	1.509646179	1.3507676119999998	1.300295626	1.460566725	1.476927853	1.599616044	1.57924326
RP1	8.834369325	6.07565228	8.5205079005	9.0793946	8.5440410925	8.4948836975	4.695002759	5.941693344	6.9336631095
RP1-21O18.1	4.689190454333333	5.6314205106666675	5.129359107333333	5.181112221333334	4.9978485306666665	6.273123774000001	5.8270060400000006	5.074495979666667	5.590095323
RP11-129H15.2	6.544035179	5.623984645	1.30681999	5.66900373	6.801689675	4.715193468	5.378749406	6.7164551470000005	6.874748664
RP11-138L21.1	7.728895358999999	5.769972313333334	6.737311804666667	7.128635039333333	7.137166261666667	7.373983706000001	6.602550183333332	7.0393819376666675	8.119672406666668
RP11-146D12.4	5.810493	6.19988306	4.900456907	5.851515709	2.169126206	2.8194854410000003	4.007961614	6.383643547	3.875107738
RP11-165H20.1	5.944209937999999	1.452922675	6.062806396	6.291193667000001	4.199524294	5.308525886	4.352721766	4.90875734	4.75923768
RP11-167P23.2	4.239340225	3.821971313	5.082918798	4.816315234	1.7322537080000002	4.705591938	2.595686794	1.992379004	4.193157815
RP11-216L13.5	2.9862121260000003	2.1007505930000003	2.7692903110000002	1.591272368	1.357001724	1.780907596	1.808711395	1.804155735	1.8214635030000002
RP11-218C14.6	6.450354685	7.99675514	1.472235934	7.312382188	6.138219369	5.165848813	10.00993379	8.116768723	1.5435337009999999
RP11-251J8.3	4.061588942	3.0765080260000004	3.69698581	3.761501118	5.053162696	5.350725566	5.804846822999999	6.6122819139999995	6.989421795
RP11-265F14.2	4.74562546	1.9256946819999998	1.926875493	2.646601119	3.5945293780000003	2.7080586089999996	8.118804402	5.346275305	6.190231696000001
RP11-309M23.2	3.7634682130000003	1.673249339	1.86030001	1.7399001680000001	3.023567902	2.672091741	4.455688433	1.5477004419999998	3.3098515969999998
RP11-327P2.4	13.14899359	13.86305685	12.89476203	13.26919248	13.01401999	12.24475428	13.59002636	13.47439922	13.57820587
RP11-345P4.4	4.33693082	1.378123975	4.57805206	5.018861449	5.280704869	4.9165850639999995	5.283831483	4.933605968	4.665208691
RP11-35N6.1	1.228956567	1.335719044	1.240381381	2.939963697	1.2384919559999998	1.4364624240000001	1.30875926	1.377911338	1.264184532
RP11-45B20.2	2.426390854	3.2977717319999997	2.442423873	2.280719853	4.233936566000001	2.439134781	5.323015895	5.197580417	2.868322918
RP11-529I10.4	1.8960844209999999	3.807478824	3.154311155	2.469507121	4.429402325	4.256117361	3.3098515969999998	5.786331215	3.242480666
RP11-544M22.4	9.34723614	7.130077564	9.632630967999999	9.292647321	9.752226196	9.687685454	8.08571727	8.397344861	8.854663346
RP11-631M21.2	5.86826341	8.059869465	6.6454889779999995	6.134734236	5.836773332999999	6.92209755	7.616809141	7.194645726	7.513814349
RP11-93B14.6	4.281377897	4.025565353999999	4.582988895	5.2539560839999995	4.355799038	4.865890089	5.614092528	4.69711733	5.5201855239999995
RP11-94I2.2	6.6461139035	5.7983829265	7.493971429	7.191742737	7.172895379	6.700376389	6.3051982375	6.230729362	7.4047521475
RP13-102H20.1	3.5160824089999996	4.421643596	3.015642875	2.407757649	6.216650187000001	2.2002925490000003	3.121504072	2.504487277	2.6660799809999998
RP13-36C9.6	4.093823661	2.643274539	1.593852836	1.638555155	3.716814738	1.4121140630000002	2.538931507	1.56464597	1.771391885
RP13-401N8.2	7.0120590473333335	4.934725507666666	7.7141554076666665	6.908762190333332	6.797893407999999	7.426335711	5.840951497333333	6.902608683666667	6.295948249666666
RP1L1	5.79436014	2.605700245	1.5645178380000002	3.5764243560000004	3.871960197	4.747041585	5.162726909	4.177863317	4.6981817889999995
RP2	1.2483746470000001	3.31440065	3.090702719	1.409939643	1.7731742599999998	2.2856288195000003	1.2787762429999998	1.303612963	1.274617026
RP3-398D13.1	3.0866643655	4.542131637500001	4.3448990535	3.7549971839999996	4.936870721	3.7689224165	4.2885262045	4.1525132535000004	5.281832699
RP3-402G11.5	6.7091429856666664	7.343267232	6.193133269666667	7.088057505333334	6.474339738333334	7.777062750666666	7.170991285666666	6.531682741666667	6.660976982000001
RP3-527F8.2	3.9014121339999996	3.5945293780000003	1.444345583	3.910611115	4.678543767	5.202782965	4.665705581	1.479071361	4.475353785
RP4-621O15.2	5.028651783	5.462689949	4.100488375	3.3889310160000004	2.446060265	3.220541832	4.382027319	3.5938075389999997	3.964966747
RP4-662A9.2	6.273413876	3.64358444	5.781457317999999	6.804113974	7.334809148	4.216524918999999	2.879956429	2.8380570880000002	5.483219552
RP4-691N24.1	8.830373392	8.746479333	7.960887641	9.520200418	9.884081269	9.212354576000001	10.97055099	9.086496697000001	9.439447238
RP4-692D3.1	4.2641665416666665	2.6731336100000003	2.8268552020000004	4.141723725666666	4.446749675333334	3.197758376	3.1535008569999996	4.113549311	4.474139864666667
RP4-724E16.2	5.460225351	7.414922146	9.302210432	6.287683986	6.61434271	6.384573400000001	7.559848212	7.013187452	6.892978954
RP5-1000E10.4	5.1288684005	4.409228118	6.4764924605	5.3171080115	5.396010027500001	5.448082076	6.7989838185	5.603972146	5.828926011
RP5-1022P6.2	6.4784622716666656	7.101738587333333	7.450216636333334	7.679062148333332	6.524967329	6.892011081333333	7.079041515666666	6.702867773666667	7.385259533
RP5-1022P6.6	3.22921721675	3.5933867942499997	3.127133389	3.2071858649999996	3.5083300765	3.6128814142500003	4.4823194505	3.5641751127499997	3.2921353835000002
RP5-1077B9.4	1.4008129790000001	1.6497190819999998	4.706136599	1.481509699	1.29367277	1.5783215830000001	1.710013831	1.802271765	1.728823155
RP5-886K2.1	1.8732807595	1.4646821719999998	3.487771693	2.6186764855	2.6545040605	3.552295243	3.4262199410000003	1.7742357425000002	5.1845044015
RP6-166C19.11	6.497563545000001	7.177053646	5.711936753333333	5.708841692333333	4.124877725	6.816074134666667	6.570391468333333	5.779434431333333	5.662219945
RP6-213H19.1	8.338576197	9.141539567999999	9.168797381000001	8.763014382	8.087951876	8.89567579	9.717133549	9.1935906	9.165706016
RP9	5.945378443499999	5.461007324	6.5511440665	7.3730351935	5.942912446999999	6.6093020445	6.303097361500001	5.099228966	6.3679131225
RP9P	4.533887041	4.78328261	3.453418565	2.6225288630000003	6.216464056	2.515855088	3.654926886	2.804174082	2.932508995
RPA1	6.996080824	9.104090867	8.860761548	7.433368027	5.976471803	8.650737086	8.105970805	7.309837602000001	7.649498684
