Gene_Symbol	GSM1187673	GSM1187674	GSM1187675	GSM1187676	GSM1187677	GSM1187678
CXorf21	4.047630000000001	3.79029	4.393269999999999	4.180619999999999	3.82977	3.7669099999999998
CXorf36	5.83724	5.82001	5.73109	5.747240000000001	5.78062	5.8609
CXorf38	8.13295	8.170739999999999	7.81721	8.11858	7.982539999999999	8.07775
CXorf40A	8.400910000000001	8.68251	8.31353	8.25325	8.17712	8.18615
CXorf40B	8.83785	9.01593	8.776639999999999	8.69882	8.73899	8.80569
CXorf56	7.9975249999999996	8.03546	8.029685	8.016915000000001	7.995005000000001	8.016355
CXorf57	6.23942	5.97478	6.40141	6.299519999999999	6.24645	6.09546
CXorf58	3.94014	4.01921	3.67078	3.8724300000000005	3.8338400000000004	3.8437099999999997
CXorf65	4.99986	5.04666	5.12934	5.166530000000001	4.95305	5.07653
CXorf66	4.49592	4.64887	4.65664	4.61081	4.89605	4.67183
CXorf67	7.80359	7.767930000000001	7.77778	7.6794199999999995	7.705539999999999	7.78287
CXXC1	8.52463	8.6385	8.75874	8.71868	8.706610000000001	8.80764
CXXC1P1	6.465409999999999	6.58155	6.4175699999999996	6.49392	6.41977	6.51545
CXXC4	6.28242	6.39145	6.355180000000001	6.03371	6.35805	6.12467
CXXC5	10.5662	11.0702	10.8228	11.0258	10.9519	10.950999999999999
CYB5A	10.2396	10.5194	10.4716	11.1076	10.3242	9.84737
CYB5B	11.5469	11.3871	11.538	11.3518	11.5676	11.5781
CYB5D1	9.019160000000001	9.323960000000001	9.172930000000001	9.117510000000001	9.2792	9.093060000000001
CYB5D2	9.4763	9.39663	9.61385	9.37438	9.42499	9.16792
CYB5R2	10.0951	10.1451	10.1147	9.66522	9.87422	9.94341
CYB5R3	12.9823	12.9335	12.9035	12.9097	12.9224	12.9644
CYB5R4	8.69322	8.4203	8.75827	8.8054	8.60133	8.7534
CYB5RL	7.2550300000000005	7.31145	7.30687	7.65158	7.46097	7.0458300000000005
CYB561	8.905560000000001	8.747110000000001	8.83094	8.76143	8.99345	8.917060000000001
CYB561A3	10.1006	9.92088	10.1495	10.3577	10.0371	9.822410000000001
CYB561D1	8.34601	8.287239999999999	8.45368	8.55842	8.29168	8.36615
CYB561D2	8.63128	8.44737	8.40978	8.528080000000001	8.339189999999999	8.48713
CYBA	8.52068	8.65868	8.58366	8.71364	8.77025	8.61955
CYBB	6.12392	6.32448	6.26856	6.13626	6.214980000000001	6.10107
CYBRD1	12.6818	13.100999999999999	12.8998	13.3524	12.8993	12.7912
CYC1	9.94223	9.99201	9.86077	9.79469	9.86455	10.0405
CYCS	9.13154	9.08863	8.727789999999999	8.265080000000001	8.67705	8.87537
CYFIP1	10.3363	10.3884	10.4709	10.4573	10.4211	10.404000000000002
CYFIP2	7.018610000000001	7.05387	7.37449	7.183680000000001	7.9425	7.331760000000001
CYGB	10.699000000000002	10.4673	10.7771	11.7049	11.1379	11.3504
CYHR1	8.881775	8.878035	8.934695	9.17145	9.06429	9.057514999999999
CYLC1	4.62239	4.0856	4.377619999999999	4.46751	4.3021199999999995	4.45303
CYLC2	4.45442	4.438619999999999	4.50609	4.75148	4.46451	4.48592
CYLD	8.96461	9.01745	9.15243	8.730189999999999	8.834010000000001	8.777999999999999
CYP1A1	6.39358	6.13218	6.21325	6.23401	6.19094	6.22061
CYP1A2	7.793189999999999	7.88708	7.801989999999999	7.78039	7.905930000000001	7.8518300000000005
CYP1B1	11.8268	11.4187	12.3533	11.9248	12.3473	12.2976
CYP1B1-AS1	5.47315	5.67017	5.77895	6.02682	5.814019999999999	5.84109
CYP2A7P1	7.8451	7.888389999999999	7.7116	7.659960000000001	7.55743	7.763539999999999
CYP2B6	4.9549900000000004	5.22473	5.28106	5.68728	5.21702	5.22698
CYP2B7P	5.80077	5.98766	5.68532	6.03774	5.58575	6.01426
CYP2C8	5.269419999999999	5.35798	5.3459699999999994	5.2584599999999995	5.42941	4.87911
CYP2C9	5.45224	5.51363	5.606990000000001	5.38364	5.5013	5.679130000000001
CYP2C18	5.52166	5.251469999999999	5.40634	5.32776	5.206930000000001	5.25218
CYP2C19	5.08839	4.96344	4.81921	4.82798	4.8030800000000005	4.87154
CYP2D6	8.13035	8.13207	8.06289	8.03342	8.00165	8.093760000000001
CYP2D7	8.18319	8.10415	8.16225	8.046660000000001	8.37993	8.23564
CYP2E1	7.87885	7.944439999999999	7.89582	7.59473	7.68383	7.94758
CYP2F1	6.58097	6.46511	6.39648	6.615139999999999	6.57256	6.5578
CYP2G1P	4.8361	5.06376	4.69917	4.92061	4.79108	4.76125
CYP2J2	6.10265	6.35425	6.1420699999999995	6.00437	6.28342	6.067819999999999
CYP2R1	7.89348	7.829439999999999	7.94115	8.28545	7.89312	7.918760000000001
CYP2S1	7.643839999999999	7.70212	7.69774	7.58378	7.8115	7.7550300000000005
CYP2U1	8.03587	7.53522	8.20092	9.02706	8.00938	8.1949
CYP2W1	8.5451	8.51919	8.53326	8.43735	8.37734	8.446589999999999
CYP3A5	6.5023	6.61038	6.581180000000001	6.6291899999999995	6.93973	6.32935
CYP3A43	4.82969	4.945790000000001	4.83595	4.96767	4.901009999999999	4.5319199999999995
CYP4A11	6.31816	6.60037	6.33269	6.05629	6.4675	6.39387
CYP4A22	6.11195	5.60241	6.17398	6.32189	5.96544	6.0515300000000005
CYP4B1	6.921760000000001	6.91029	6.6405199999999995	6.7921	6.59542	6.627789999999999
CYP4F2	5.2991	5.474019999999999	5.4137699999999995	5.17066	5.13408	5.4017800000000005
CYP4F3	6.2419400000000005	6.10177	6.15045	5.98365	5.9191400000000005	6.01467
CYP4F8	6.40008	6.45432	6.356240000000001	6.34627	6.28716	6.4193
CYP4F11	6.19918	6.01005	6.12102	6.09931	6.2005	5.95094
CYP4F12	5.3276699999999995	5.17278	5.4072	5.32764	5.3158	5.07602
CYP4F22	6.84638	6.7667	6.64912	6.75865	6.73773	6.7573300000000005
CYP4V2	9.54458	9.40178	9.97837	10.0109	9.40282	9.16036
CYP4X1	5.872380000000001	5.8307	5.67108	5.958130000000001	5.61413	5.71224
CYP4Z1	6.27364	6.18475	6.012919999999999	5.95487	6.20346	5.9126900000000004
CYP4Z2P	4.69707	4.47264	4.1072	4.98985	4.75122	4.64064
CYP7A1	5.21429	5.3463199999999995	5.73337	5.79515	5.6378699999999995	5.31229
CYP7B1	7.74724	7.20328	9.082239999999999	10.0134	7.371289999999999	8.2343
CYP8B1	5.997719999999999	5.90805	5.93171	5.80549	5.942480000000001	5.72823
CYP11A1	8.417539999999999	8.346919999999999	8.72804	9.28241	8.531880000000001	8.48105
CYP11B1	7.8680699999999995	7.89647	7.883660000000001	7.85001	7.7361699999999995	7.69366
CYP11B2	7.42479	7.7009	7.4743	7.3439	7.08598	7.37029
CYP17A1	6.571860000000001	6.43569	6.4035400000000005	6.6254	6.47001	6.3194300000000005
CYP19A1	5.87437	5.46281	5.8389	10.6131	5.7645599999999995	5.93018
CYP20A1	8.949530000000001	8.758389999999999	9.154630000000001	9.10619	9.18914	8.93886
CYP24A1	5.067080000000001	5.34202	5.25435	5.40805	5.59695	5.18698
CYP26A1	6.41099	6.49332	6.38673	6.36846	6.3543199999999995	6.3854
CYP26B1	7.2203	7.27647	7.0178	6.9359	6.93288	6.95175
CYP26C1	8.2201	8.28096	8.19973	8.1057	8.17338	8.10864
CYP27A1	8.53284	7.9719	9.22701	9.845369999999999	8.35116	8.16
CYP27B1	8.0086	7.872260000000001	7.8235399999999995	7.3997399999999995	7.61526	7.837039999999999
CYP27C1	6.1016	6.0601400000000005	6.17059	6.08661	6.0528699999999995	5.92077
CYP39A1	5.02959	4.99616	5.05881	5.75884	4.92106	5.0169
CYP46A1	7.8249699999999995	7.99304	7.76682	7.9759199999999995	7.8427	7.809769999999999
CYP51A1	9.9592	9.51356	10.388694999999998	10.391725000000001	10.227889999999999	10.12889
CYR61	12.6525	12.8565	12.7902	11.770999999999999	12.3215	12.5003
CYS1	9.53064	9.66344	9.46822	9.2635	9.33173	9.35251
CYSLTR1	4.80765	4.65599	4.87488	4.586880000000001	4.74541	4.65831
CYSLTR2	4.2858	4.6676	4.26039	4.0091	4.46437	4.24257
CYSRT1	8.202395	8.182500000000001	8.19199	8.071729999999999	8.169825	8.18444
CYSTM1	10.2546	10.0015	10.5384	10.4141	10.0458	9.76338
CYTH1	9.25667	9.12223	9.28539	9.1803	9.09109	9.25641
CYTH2	9.369655	9.231535000000001	9.43172	9.31677	9.42956	9.443145
CYTH3	10.2396	10.2193	10.3615	10.5371	10.1192	10.1317
CYTH4	6.82525	6.73423	6.680630000000001	6.678160000000001	6.62255	6.74781
CYTIP	5.34923	5.9857	5.65939	5.16343	5.49585	5.29605
CYTL1	7.97792	8.169310000000001	8.28544	8.04804	7.9258	7.938269999999999
CYYR1	5.9405	6.12831	6.17862	6.09835	5.91458	6.07343
D2HGDH	8.921045	9.0454	8.985129999999998	9.067125	9.142520000000001	9.31157
DAAM1	9.02512	8.77777	9.0566	8.62704	8.677539999999999	8.596060000000001
DAAM2	8.89222	8.68419	8.97245	9.366760000000001	8.5152	8.848939999999999
DAB1	6.9903	8.0834	8.4845	9.31325	8.21078	7.15562
DAB2	12.8754	12.9866	12.9245	13.0171	12.9222	12.963
DAB2IP	8.29106	8.3005	8.52642	8.183860000000001	8.41912	8.27403
DACH1	5.50934	5.687130000000001	5.6692	5.60176	5.55473	5.678319999999999
DACH2	6.62087	6.58188	6.43027	6.49046	6.4749099999999995	6.6385
DACOR1	5.87825	5.13061	5.37637	5.3924900000000004	5.19267	4.99212
DACT1	11.337	11.0193	11.0962	8.51309	11.0744	11.2643
DACT2	7.5170699999999995	7.66677	7.537560000000001	7.463419999999999	7.44552	7.40255
DACT3	9.38033	9.41558	9.323960000000001	9.25266	9.31211	9.48203
DAD1	13.609000000000002	13.5292	13.4867	13.4687	13.5115	13.5038
DAG1	10.7652	10.7652	10.6396	10.5956	10.5206	10.542
DAGLA	7.99665	8.1962	8.03716	8.241810000000001	8.19769	8.20808
DAGLB	9.73172	9.63927	9.71289	9.86988	9.53881	9.665
DALRD3	10.0365	9.97824	9.97189	10.3235	9.90926	10.0023
DAND5	7.491639999999999	7.77517	7.6121	7.4417	7.5187800000000005	7.47138
DANT2	8.29975	8.31345	8.21175	8.30815	8.18562	8.29105
DAO	5.71362	5.774030000000001	5.51201	5.49372	5.36775	5.8666
DAOA	4.15038	4.4907900000000005	4.36755	4.3442	4.3487	4.1102099999999995
DAOA-AS1	5.378909999999999	5.38537	5.25327	5.5393099999999995	5.3839	5.42557
DAP	12.1502	12.1132	11.9036	11.3105	11.8145	11.725999999999999
DAP3	8.73728	8.62929	8.7437	8.67764	8.72407	8.784980000000001
DAPK1	7.5056199999999995	7.21563	7.06685	9.40345	7.9216	8.29534
DAPK2	7.8621300000000005	8.173919999999999	8.05835	8.95252	8.09015	8.12732
DAPK3	9.9028	9.8456	9.88701	9.54827	9.583789999999999	9.66334
DAPL1	6.08183	6.07336	6.19374	6.24737	6.155	6.11578
DAPP1	5.47623	5.33301	5.29721	5.3212	5.4124099999999995	5.37645
DARS	11.6394	11.375	11.6707	11.7123	11.7259	11.5341
DARS2	9.02346	8.57061	8.72903	8.72176	9.093589999999999	9.10522
DAW1	6.15036	6.32263	5.9275	5.49855	5.81996	5.8551
DAXX	8.237926666666667	8.177586666666668	8.286103333333335	8.477356666666667	8.18772	8.381659999999998
DAZAP1	9.42026	9.26961	9.286389999999999	9.14596	9.41916	9.48771
DAZAP2	12.2688	12.1098	12.3684	12.3475	12.2398	12.2339
DAZL	5.88183	6.00663	5.9859800000000005	6.08319	5.745830000000001	5.69806
DBF4	5.43545	5.62895	6.0262199999999995	5.1161900000000005	5.83047	5.94499
DBF4B	7.100575	7.109730000000001	7.16835	7.106695	7.302390000000001	7.319815
